No.,Tweets,Tendensi
1,"Dibimbing Khusus Menjadi Pejuang Keluarga "" NAMTARI"" Keluar dari Krisis Ekonomi Dunia 2023, Siapa yang Siap ikut "" KENDI IKI AE CAK""  Mitra IWS Milineal https://t.co/TswD2KbZj0",0
2,"Misal nih isu resesi ekonomi 2023. Sebenernya ini bukan isu baru bagi Indonesia, karena Indonesia sudah pernah terkena badai krisis ekonomi di masalalu. Contohnya Krisis Moneter tahun 1908. Dari masalalu kita tahu ini apa yang perlu kita lakukan. Sabi nih next time aku bahas😉",0
3,"Pengamat: Wacana Penundaan Pemilu Bisa Muncul Jika 2023 Krisis Ekonomi

https://t.co/ikWMWWHnlr https://t.co/oxdtwhEWhk",0
4,"Tahun 2008 krisis ekonomi, muncul #Bitcoin sebagai solusi.

Misal tahun 2023 terjadi resesi, solusinya #NabungKripto di #NOBI @usenobi sekarang juga:
https://t.co/l4JozWLbTx…

#NabungKriptoDiNOBI
#InvestasiLawanResesi #ChillAjaDiNOBI
@coinkit_ mon 1 100 tzc https://t.co/BKJz3Dx59y",0
5,Sri Mulyani Bandingkan Resesi 2023 dengan Krisis Ekonomi 1998 dan 2008 https://t.co/tzTnWGlb2q,0
6,Artinya bisa juga tak diumumkan mengingat tahun 2023 terjadi krisis ekonomi dan 2024 dampaknya blm usai2 juga!! https://t.co/xjm0Ql9DhC,0
7,"Mereka memberitahu bhw pemilu akan ditunda.
Indikatornya :
1) dimana-mana Presiden katakan utk calon Presiden 2024 - ojo kesusu.
2) kompak menyatakan bhw ekonomi 2023-2024 krisis dan gelap
3) tinggal menunggu usulan seluruh pjbt Gubernur dan Bupati/Walikota utk menunda pemilu. https://t.co/bF0ecqBkG7",0
8,"#62NegeriKrisis
#62NegeriKrisis

Bukan Resesi Global 2023, Faisal Basri ungkap penyebab RI bisa Alami krisis ekonomi.
👇👇👇
https://t.co/XwHh7p8wej",0
9,"Antisipasi Potensi Kerawanan Jika Terjadi Krisis Ekonomi 2023, Ini Langkah yang Dilakukan Polri https://t.co/pq9JJaqCmw",0
10,"Antisipasi Potensi Kerawanan Jika Terjadi Krisis Ekonomi 2023, Ini Langkah yang Dilakukan Polri https://t.co/Dcg9HNOFHb",0
11,"@abu_waras Ngarang bebas lu drun, Jkw dan SM hanya blng thn 2023 diperkirakan krisis global based on fata IMF &amp; WB, semua akan terkena imbasnya tp RI akan kuat menahannya krn pondasi ekonomi ug baik
.
https://t.co/KXc0IQFBtJ",0
12,"Persiapan Hadapi Krisis Ekonomi 2023, Puteri Komarudin Desak Pemerintah Susun APBN Yang Fleksibel Dan Responsif
https://t.co/c1piRjKijg
#airlanggahartarto #airlanggapemersatu #airlanggauntukindonesia #partaigolkar #golkarpedia #golkarsolid #HUTGolkar58",0
13,"Dunia internasional membutuhkan jokowi, kabinet-kabinet serta buzzer mengatasi badai krisis 2023

Resesi ekonomi dapat diatasi dg penjelasan pengamat ekonom bayaran 

Angka Kemiskinan dapat diturunka, hapus angka statistik

Polusi, macet dapat dia Atasi dengan pindah planet",0
14,"6/7 Kesimpulannya, untuk mendepani krisis ekonomi yang diramal bakal berlaku pada tahun 2023, Malaysia memerlukan sebuah kerajaan yang stabil dan tidak goyah dengan sebarang ancaman. Sejarah telah membuktikan dengan adanya kerajaan yang stabil, kemakmuran negara dapat dikecapi.",0
15,"JK Peringatkan Sri Mulyani Tak Menakuti Rakyat Soal Krisis 2023, Said Didu: Sepertinya Ada Agenda Tersembunyi https://t.co/O4Zrds1HKJ #2023 #JusufKalla #KrisisEkonomi #MenteriKeuangan",0
16,"Malaysia perlu kerajaan stabil untuk hadapi krisis ekonomi 2023 – Shabery Cheek 

#BNKestabilanDanKemakmuran
#UndilahBarisanNasional
#BarisanNasional
#BNCOMMS
#MalaysiaMemilih
#PRU15

https://t.co/BIbGShXPP7",0
17,"Menjelang 2023, agak deg2an juga dengar ramalan ekonom ttg krisis ekonomi di tahun depan. Kami ada investasi di bbrp negara dan so far hanya yg di Indo masih aman. Tiap malam kami zoom meeting, dgn partner yg di Korea dan Finland.",0
18,Hadapi krisis ekonomi 2023 katanya jgn simpan uang di bank.. Pegang cash..sebagian ubah ke Dollar dan Logam Mulia... https://t.co/H5BN7H2nHg,0
19,Fakta dah betul tapi salah percaturan. Rakyat faham krisis ekonomi global. This is not right and misleading. Mcm begini punya pemikiran pun ada dah nak 2023 dah ni oi 🤧 https://t.co/G38uJeMqkd,0
20,"Di Harkopnas Tingkat Kota Medan, Bobby Nasution Ajak Koperasi Berperan Antisipasi Kemungkinan Krisis Ekonomi 2023 https://t.co/ZaVmWUTzkc via @BeritaIrn https://t.co/PW8wzfjjQn",0
21,"Menurut Heru, salah satu tantangan yang akan dihadapi Indonesia adalah krisis ekonomi, yang disebut akan terjadi pada 2023.  https://t.co/tZOtIGPyMV",0
22,"Menurut Heru, salah satu tantangan yang akan dihadapi Indonesia adalah krisis ekonomi, yang disebut akan terjadi pada 2023.  https://t.co/tZOtIH7I13",0
